city,year,专利授权数（件）,专利申请数（件）,人均地区生产总值（元）,公路客运量（万人）,公路货运量（万吨）,地方财政一般预算内支出（万元）,地方财政一般预算内收入（万元）,城市公共交通客运总量（万人次）,城镇户籍人口（万人）,城镇非私营单位在岗职工平均工资（元）,境内公路总里程（公里）,常住人口（万人）,当年实际使用外资金额（万美元）,社会消费品零售总额（万元）,第一产业从业人员数（万人）,第三产业从业人员数（万人）,第二产业从业人员数（万人）,自然增长率（‰）,普通高等学校在校学生数（人）,province,VL_transport_eq,VL_transport_eq_interp,terrain_ruggedness,lat,lon,market_access_log,supplier_access_log,city_lat,city_lon,nev_poi_count,nev_poi_充电基础设施,nev_poi_整车制造,nev_poi_电机电控,nev_poi_电池及上游材料,nev_poi_density_pop,gwr_nev_mention,gwr_nev_charging,gwr_nev_battery,gwr_nev_components,gwr_nev_policy,gwr_nev_clean_energy,gwr_nev_total_mentions,nev_poi_汽车零部件,nev_poi_清洁能源装备
七台河市,2019,246.0,526.0,29912.0,490.0,746.0,1365975.0,304236.0,,,64270.0,,,,669115.0,0.2811,4.3102,3.6011,-0.37,4081.0,黑龙江,,0.4009300826143795,0.55,45.7707,131.0031,24.946097870856203,24.18512218968588,45.7707,131.0031,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,1,2,3,0.0,0.0
七台河市,2020,416.0,,26979.0,187.0,732.0,1250084.0,192536.0,,,62859.0,2012.0,69.0,,611545.0,,,,,4024.0,黑龙江,0.4004287218537858,0.4004287218537858,0.55,45.7707,131.0031,24.946097870856203,24.18512218968588,45.7707,131.0031,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,2,2,6,0.0,0.0
七台河市,2021,377.0,,34055.0,134.0,914.0,848744.0,239946.0,,46.0,65675.0,2012.0,,,683954.0,,,,,4737.0,黑龙江,,0.4004287218537858,0.55,45.7707,131.0031,24.946097870856203,24.18512218968588,45.7707,131.0031,0.0,0.0,0.0,0.0,0.0,,0,0,2,0,1,2,5,0.0,0.0
七台河市,2022,304.0,,40102.0,65.0,894.0,1027293.0,280902.0,,46.0,,1834.0,,,690700.0,,,,,4629.0,黑龙江,,0.4004287218537858,0.55,45.7707,131.0031,24.946097870856203,24.18512218968588,45.7707,131.0031,0.0,0.0,0.0,0.0,0.0,,0,0,1,0,2,1,4,0.0,0.0
七台河市,2023,492.0,,39710.0,,,1035681.0,343170.0,5778.0,,,2012.0,66.0,,742523.0,,,,,5825.0,黑龙江,,0.4004287218537858,0.55,45.7707,131.0031,24.946097870856203,24.18512218968588,45.7707,131.0031,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,3,0.0,0.0
七台河市,2024,202.0,,36119.0,,,1127202.0,289713.0,5589.0,,,1897.0,65.0,,758697.0,,,,,,黑龙江,,0.4004287218537858,0.55,45.7707,131.0031,24.946097870856203,24.18512218968588,45.7707,131.0031,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,3,1,6,0.0,0.0
三亚市,2019,313.0,870.0,87105.0,907.0,213.0,2153861.0,1090980.0,,,87058.0,,,26200.0,3400403.0,0.201,12.7776,1.041,12.01,54773.0,海南,,0.3750240198297268,0.55,18.2536,109.5119,25.210222977434658,24.45707435811694,18.2536,109.5119,188.0,187.0,1.0,0.0,0.0,,1,1,0,0,1,0,3,0.0,0.0
三亚市,2020,911.0,,68656.0,530.0,216.0,1996786.0,1104102.0,,,93152.0,2001.0,104.0,,3810480.0,,,,,60798.0,海南,0.3749999999999992,0.3749999999999992,0.55,18.2536,109.5119,25.210222977434658,24.45707435811694,18.2536,109.5119,188.0,187.0,1.0,0.0,0.0,1.8076923076923077,1,1,0,0,1,1,4,0.0,0.0
三亚市,2021,1633.0,,79809.0,560.0,251.0,2023813.0,1171412.0,,48.0,101494.0,1995.0,,,5451936.0,,,,,61226.0,海南,,0.3749999999999992,0.55,18.2536,109.5119,25.210222977434658,24.45707435811694,18.2536,109.5119,188.0,187.0,1.0,0.0,0.0,,5,2,0,0,2,0,9,0.0,0.0
三亚市,2022,1532.0,,79840.0,477.0,256.0,2289557.0,980169.0,,53.0,,2001.0,,,4322918.0,,,,,71162.0,海南,,0.3749999999999992,0.55,18.2536,109.5119,25.210222977434658,24.45707435811694,18.2536,109.5119,188.0,187.0,1.0,0.0,0.0,,5,1,0,0,3,1,10,0.0,0.0
