city,lat,lon,MA_log,SA_log
七台河市,45.7707,131.0031,24.946097870856203,24.185122189685874
三亚市,18.2536,109.5119,25.210222977434658,24.45707435811694
三明市,26.2638,117.639,25.90916143618263,25.146622073662034
三沙市,16.831,112.3384,25.12760450663823,24.377951363171974
三门峡市,34.7725,111.2003,25.9241149885504,25.161507958010027
上海,31.2304,121.4737,26.18365817590355,25.448806009301812
上饶市,28.4549,117.9436,26.0077852484116,25.261499498342015
东莞市,23.0208,113.752,26.340219264211846,25.61686974000126
东营市,37.4347,118.6747,26.018276468881783,25.26830216396997
中卫市,37.5,105.1967,25.422457210308437,24.651816616310867
中山市,22.5159,113.3926,26.330389212209404,25.608003477386315
临汾市,36.0882,111.5189,25.86477492899891,25.101574740462908
临沂市,35.1047,118.3564,26.097711743055616,25.3565678608308
临沧市,23.8842,100.0393,25.090835106443272,24.323603352716162
丹东市,40.0005,124.3547,25.463947792802063,24.707039504130965
丽水市,28.467,119.9229,26.06066476503597,25.321795446054953
丽江市,26.8567,100.2278,25.196481993266985,24.43155214106894
乌兰察布市,40.9945,113.1327,25.63258085135522,24.872777818266194
乌海市,39.6558,106.7955,25.412170657564797,24.64066043495034
乌鲁木齐市,43.8256,87.6168,24.524536519055136,23.761099726891533
乐山市,29.5521,103.7656,25.667765972004364,24.912470770127094
九江市,29.7052,116.0019,26.066733347886583,25.326184906115994
云浮市,22.9153,112.0446,25.95394256333205,25.21864654142492
亳州市,33.8446,115.7792,26.13297038825301,25.383083090819895
伊春市,47.7275,128.8407,24.925064911944304,24.163099176272897
佛山市,23.022,113.1214,26.584486116409114,25.866704668061157
佳木斯市,46.7998,130.3189,24.924198752183614,24.162909143688708
保定市,38.8738,115.4646,25.99298073634629,25.248969262166558
保山市,25.112,99.1615,25.070519030561307,24.304863204008427
信阳市,32.1473,114.0912,26.059758817790996,25.319876288499795
儋州市,19.5209,109.5807,25.34918033406562,24.594124783579694
克拉玛依市,45.5799,84.8892,24.450277380847357,23.683766267672333
六安市,31.7349,116.5216,26.183138242284254,25.44060653987457
六盘水市,26.5925,104.8304,25.54029715455104,24.77535316216722
兰州市,36.0614,103.8343,25.379058333265267,24.61259864322998
内江市,29.5802,105.0584,25.781955322197607,25.03325440673135
包头市,40.6582,109.8404,25.50054969214156,24.731503931428684
北京,39.9042,116.4074,25.795078357291214,25.024338966723437
北海市,21.4733,109.1192,25.5199451259857,24.76652419901461
十堰市,32.6292,110.7979,25.873542598042814,25.126128716399304
南京市,32.0603,118.7969,26.320295193801662,25.590398520803877
南充市,30.8378,106.1107,25.769920715190164,25.02448065674127
南宁市,22.8167,108.3669,25.52151351541562,24.766916593722183
南平市,26.6416,118.1777,25.93290526274782,25.170152977694798
