city,nev_mentions,local_I,p_value,z_score,spatial_lag,cluster
七台河市,3,0.20626231982813764,0.019,-1.0820466982143992,-0.19126856028872807,LL
三亚市,7,-0.011279286797084452,0.296,-0.4940965877573782,0.022905484368858697,NS
三明市,5,-0.026060457708679537,0.243,-0.7880716429858886,0.03318073740632419,NS
三门峡市,10,-0.007531379899318756,0.044,-0.05313400491461246,0.14222361014978094,LH
上海,10,-0.0033356345763277126,0.152,-0.05313400491461246,0.06299058046835132,NS
上饶市,16,-0.0005731072142067534,0.459,0.828791160770919,-0.0006938417996534083,NS
东莞市,7,-0.07798134527005253,0.08,-0.4940965877573782,0.1583611195707402,NS
东营市,15,0.02980784768990833,0.235,0.6818036331566637,0.04386730986299564,NS
中卫市,4,0.011904315893109512,0.404,-0.9350591706001439,-0.012774239194552924,NS
中山市,8,-0.07252111572473204,0.065,-0.3471090601431229,0.20963713821045338,NS
临汾市,18,0.08527286311145447,0.054,1.1227662159994294,0.07620635751692244,NS
临沂市,6,-0.03857898525424765,0.136,-0.6410841153716335,0.06038171988243482,NS
临沧市,7,-0.02578374749122796,0.164,-0.4940965877573782,0.05236051141846844,NS
丹东市,4,0.06484009526224066,0.08,-0.9350591706001439,-0.06957836919943357,NS
丽水市,4,-0.06262953984031773,0.135,-0.9350591706001439,0.06720627457711244,NS
丽江市,18,0.06489322078804975,0.091,1.1227662159994294,0.05799354921782155,NS
乌兰察布市,18,0.09965204543668825,0.052,1.1227662159994294,0.08905669546846443,NS
乌海市,15,-0.0009505893033222243,0.477,0.6818036331566637,-0.0013989535895073337,NS
乌鲁木齐市,8,0.03565572476454745,0.01,-0.3471090601431229,-0.1030701751587943,LL
乐山市,20,0.24176554781747162,0.03,1.41674127122794,0.17122751837186503,HH
九江市,2,-0.07616759030345602,0.119,-1.2290342258286544,0.06218361044688955,NS
云浮市,6,-0.14511910925908456,0.012,-0.6410841153716335,0.2271325009489644,LH
亳州市,10,-0.0037031719121390534,0.12,-0.05313400491461246,0.06993120588662957,NS
伊春市,3,0.18868747528218868,0.003,-1.0820466982143992,-0.17497127818503216,LL
佛山市,8,-0.0668808260607442,0.09,-0.3471090601431229,0.19333272573665056,NS
佳木斯市,7,0.11190975453349084,0.009,-0.4940965877573782,-0.22726145538317893,LL
保定市,18,0.032183596694761875,0.263,1.1227662159994294,0.028761725435392498,NS
保山市,7,-0.027069612260732123,0.129,-0.4940965877573782,0.05497178958775459,NS
信阳市,7,-0.050336873594403087,0.029,-0.4940965877573782,0.10222193052062915,LH
儋州市,0,-0.096793975167112,0.168,-1.523009281057165,0.06376986111979223,NS
克拉玛依市,8,0.018546564420822906,0.028,-0.3471090601431229,-0.05361264302075768,LL
六安市,9,-0.02357358346703232,0.019,-0.2001215325288677,0.1181956465182023,LH
六盘水市,8,-0.03404154519750318,0.075,-0.3471090601431229,0.09840405851660974,NS
兰州市,6,0.011184139855049317,0.444,-0.6410841153716335,-0.017504804633999803,NS
内江市,6,-0.11736378872766841,0.041,-0.6410841153716335,0.18369138971883855,LH
包头市,13,0.021434154985136157,0.131,0.3878285779281533,0.055454431059519214,NS
北京,9,-0.0034184097511061563,0.368,-0.2001215325288677,0.0171395728257085,NS
北海市,16,0.04413168777308755,0.199,0.828791160770919,0.053428763252617105,NS
十堰市,30,0.12729421356182366,0.076,2.8866165473704926,0.0442475532425175,NS
南京市,6,-0.07102978125702875,0.101,-0.6410841153716335,0.1111719327739527,NS
南充市,9,-0.01936474182720181,0.106,-0.2001215325288677,0.09709292535541392,NS
南宁市,29,0.15177178790035017,0.145,2.7396290197562374,0.055586456209625885,NS
南平市,8,-0.012308769256963262,0.263,-0.3471090601431229,0.035581018523169146,NS
南昌市,10,-0.0015146611141894403,0.286,-0.05313400491461246,0.028603068055695534,NS
南通市,10,-0.0053479955126044185,0.074,-0.05313400491461246,0.10099228017115812,NS
南阳市,14,0.0523764173478713,0.016,0.5348161055424085,0.09826548598797655,HH
厦门市,9,0.004716744814242879,0.418,-0.2001215325288677,-0.023649298103552062,NS
双鸭山市,12,-0.060105473185947784,0.002,0.24084105031389802,-0.2504108849968736,HL
台州市,14,0.02240021510672822,0.188,0.5348161055424085,0.04202593715179572,NS
合肥市,11,0.01222694134659617,0.021,0.09385352269964278,0.13071846695259828,HH
吉安市,10,-0.0023745761848190565,0.189,-0.05313400491461246,0.04484182209573679,NS
吉林市,7,0.04685455741218948,0.073,-0.4940965877573782,-0.09515019448677495,NS
吐鲁番市,0,0.07214081532865158,0.139,-1.523009281057165,-0.04752785249943721,NS
吕梁市,9,-0.018982943825308116,0.037,-0.2001215325288677,0.09517862744070384,LH
吴忠市,2,-0.027406074724307138,0.386,-1.2290342258286544,0.022374459632305534,NS
周口市,6,-0.054074889424980614,0.089,-0.6410841153716335,0.08463506244175557,NS
呼伦贝尔市,4,0.03655923872242881,0.082,-0.9350591706001439,-0.039230852440784614,NS
呼和浩特市,12,0.023165910221309396,0.04,0.24084105031389802,0.09651360804247758,HH
咸宁市,10,-0.0014640158559795088,0.301,-0.05313400491461246,0.02764667605902625,NS
咸阳市,9,-0.014603166305283502,0.214,-0.2001215325288677,0.07321885045944174,NS
哈密市,0,0.034916906937575584,0.167,-1.523009281057165,-0.02300397625263,NS
哈尔滨市,2,0.1650501231485117,0.017,-1.2290342258286544,-0.13474776504269334,LL
唐山市,8,-0.01511684812449994,0.218,-0.3471090601431229,0.043698345618550266,NS
商丘市,7,-0.04102666193548736,0.092,-0.4940965877573782,0.08331515818115963,NS
商洛市,7,-0.032991236927603466,0.103,-0.4940965877573782,0.06699716705047946,NS
嘉兴市,10,-0.0027038696892461864,0.254,-0.05313400491461246,0.051060245761064715,NS
嘉峪关市,13,-0.007232146665350882,0.423,0.3878285779281533,-0.018711004886553723,NS
四平市,9,0.021511183483252955,0.088,-0.2001215325288677,-0.10785497430759658,NS
固原市,5,0.032676700843878616,0.242,-0.7880716429858886,-0.04160468101236145,NS
大同市,17,0.09910289579251201,0.036,0.9757786883851742,0.10190716296203402,HH
