model,variable,coef,se,p_value
OLS (2023),terrain_ruggedness,10.310580204778132,0.38028249406645165,5.093295494919393e-81
OLS (2023),market_access_log,0.5800525166828543,0.4827451618376649,0.23052387963113605
OLS (2023),supplier_access_log,29.599388991162172,14.583213442562075,0.0433137820587559
OLS (2023),VL_transport_eq_interp,-29.100214382537818,14.672957726466157,0.048295234603519345
OLS (2023),常住人口（万人）,1.7287933122594659,0.5317361116534879,0.0012865483526634418
OLS (2023),人均地区生产总值（元）,0.18145854595022548,0.43238158408763006,0.6750399843317784
Panel FE,terrain_ruggedness,26.22542333254866,,
Panel FE,market_access_log,-12.855593747584226,,
Panel FE,supplier_access_log,-5.976518635862551,,
Panel FE,VL_transport_eq_interp,7.70697651470099,,
Panel FE,常住人口（万人）,9.74985564718146,9.029829519085583,0.28070971327588073
Panel FE,人均地区生产总值（元）,0.7378275493517297,1.3192943249745932,0.5762018075357852
